full_text,status
Jika sobat BKD menemukan keluhan seputar layanan publik yang kami berikan dapat disampaikan melalui platform LaporGub atau SP4N LAPOR ! Dapat dilihat pada link berikut : https://t.co/UH5MxB2uOn #ASNBerakhlak #BKDProvJateng #SobatASNJateng @kipjateng @ppid_jateng https://t.co/zIFNMz8sFh,Positif
Pemko Palangka Raya melalui Diskominfo menyelenggarakan sosialisasi SP4N-LAPOR di aula Rahan Pumpung Kapakat Kantor Bappeda Kota Palangka Raya Selasa (30/4/2024). Baca lebih lanjut https://t.co/eSrubF6P8G https://t.co/HDuUuMXkXk,Netral
Salah satu upaya keterbukaan informasi dlm pelayanan publik adalah pengaduan pelayanan publik melalui SP4N-LAPOR!. Masyarakat dapat secara terbuka memberikan pengaduan terkait pelayanan publik dan mendapatkan follow up scr berkala dan terbuka terkait aduan yg telah disampaikan. https://t.co/G50KVHTp6L,Positif
Halo sobat parekraf Saat kamu bingung mau melakukan pelaporan kemana? SP4N-Lapor! Bisa jadi solusinya untuk kamu. Yuk Swipe ke slide berikutnya yah. #WonderfulIndonesia #PesonaIndonesia https://t.co/3FCcHKpRyd,Positif
Hai TemanKom! Berikut Data Jumlah Pengaduan Masyarakat Kota Bogor yang masuk melalui SIBADRA dan SP4N LAPOR periode 22 April 2024 - 28 April 2024 https://t.co/Rr4SNqBlTd,Netral
"Aplikasi ngaco, masa laporan saya tiba tiba hilang",Negatif
Diskominfos Provinsi Bali Adakan Rapat Koordinasi SP4N-LAPOR! Selengkapnya : https://t.co/SEWvKLGYyI https://t.co/FGSY4qsqmG,Netral
Talkshow Peran Serta Masyarakat Dalam Pembangunan Kota Bekasi Melalui Penggunaan SP4N LAPOR! Senin 29 April 2024 Pukul 11.00 WIB bersama @RadioDakta @pemkotbekasi #talkshow #SP4NLAPOR #Menpan #pemkotbekasi #jawabarat #kotabekasi #diskominfostandi https://t.co/7Eopwx34PY,Netral
Halo #FIUtizen Punya aspirasi dan aduan tentang pelayanan PPATK ? Yuk sampaikan melalui Sistem Pengelolaan Pengaduan Pelayanan Publik Nasional (SP4N) - Layanan Aspirasi dan Pengaduan Online Rakyat (LAPOR!) Untuk pelayanan publik yang lebih baik. @lapor1708 #SP4NLapor https://t.co/jq6O7Yw4DP,Positif
Halo Sobat Rutala mimin ada info nih.. Mohon disimak baik-baik yaa. Bagi sobat Rutala yang ingin melakukan pengaduan secara online bisa mengakses layanan SP4N - LAPOR! melalui laman https://t.co/2ELTNyszSF SMS 1708 format: Kumham (spasi) Aduan atau download versi mobilenya. https://t.co/Cx45Ue6XbH,Positif
@merapi_uncover @puprjalanjtgdiy untuk memudahkan dalam tindak lanjut laporan sampaikan laporan melalui Aplikasi Sleman Digital Service (SDS) https://t.co/S8PMJzd8JL SP4N!Lapor atau https://t.co/ViaO2tlMMy . Maturnuwun atas partisipasi panjenengan u/ mewujudkan Kab. Sleman yg lebih baik #LaporSleman ,Netral
@Hsnmub @budiperkasa_plg Mohon maaf apabila terdapat aduan atau pertanyaan bisa menyampaikan melalui Sp4n Lapor di situs https://t.co/fmXmzXgfn5 atau bisa melalui telepon ke pusat kendali Kemensos di nomor telepon 171 akan ada petugas yang mengarahkan secara spesifik. Terima kasih,Netral
